objectId,coord_ra,coord_dec,source_id,ra_gaia,dec_gaia,separation_arcsec
579578142646084627,4.939379092036805,-71.9087135510223,4689822674816340864,4.938446285990411,-71.908267722675,1.914009586753142
579578142646084936,4.874139843781326,-71.91202751164089,4689822644753028480,4.875603146831392,-71.91228895267966,1.88702107403509
579577455451312751,4.958267881800612,-72.01245422327253,4689809484973017344,4.9577911843059415,-72.01195206384942,1.883851950939108
579578692401894286,5.862365919958403,-71.71767084058904,4689849101753254272,5.863740860720792,-71.71790363617669,1.7644680987471568
579578142646087495,5.119066392548993,-71.85138547411755,4689825153015860736,5.120277063806647,-71.85108117529053,1.7444484323864067
579578692401894275,5.873088589295644,-71.71910122583755,4689850373060970368,5.872989107684371,-71.71862097747058,1.7325398865992807
579578142646082984,4.848036977497185,-71.9437331204416,4689822335517490048,4.847219661561138,-71.94412515154455,1.6803264868427625
579578142646086391,5.134849328701721,-71.87384394912701,4689824328382173824,5.134078398732525,-71.87422552739659,1.622503638168895
579578142646087485,5.149600742657639,-71.85885923603354,4689824397101623552,5.1503283110008535,-71.85847320782024,1.6113238879468303
579578142646083075,5.058246524986505,-71.94959023820026,4689811885859345408,5.057162472638724,-71.9494259135869,1.3461811632922196
579578692401896386,6.086916677871118,-71.68296582221876,4689850471847612672,6.087149692020039,-71.68263271583471,1.2278193580744154
579578142646082614,4.85948620593588,-71.96944120474186,4689810515767512064,4.859992670098571,-71.96915308034029,1.1808368452666214
579578692401893867,5.779478000154789,-71.71774589710422,4689849136112997888,5.779207660962508,-71.71744878039976,1.1123406062682184
579578761121371309,5.505681481999622,-71.736986655227,4689849514070162560,5.504908711792842,-71.73689074516885,0.937695362948353
579578142646087506,5.1390074738747655,-71.85070202197753,4689825153013377408,5.1383905858899555,-71.85055292383517,0.8755834326477878
579578761121370979,5.615588813692851,-71.74385608588206,4689849376631205248,5.61504960539643,-71.74369753634959,0.8340070022729322
579578692401896009,5.714736879660501,-71.69332018242784,4689850063825923840,5.714057068578039,-71.69324484825728,0.8151493120869601
579578761121371322,5.502770676620089,-71.75906824618103,4689849307909191168,5.502133202238654,-71.75911058843802,0.7343231640401693
579577180573402480,6.830069708352615,-71.98586748670412,4689633666205740800,6.829496630652633,-71.98583651212891,0.647688331746123
579578692401894019,5.949533764767919,-71.72819494047468,4689838583377363456,5.949710188481204,-71.7280356257586,0.6071244850317095
579578692401894191,5.735081111009347,-71.73298326473919,4689849028737814528,5.735055777686187,-71.73281709533403,0.598891827956521
579576768256546674,4.80574079274369,-72.22159013782343,4689615489901980544,4.805337564175561,-72.2215606401934,0.4557827249930456
579578142646089184,5.142262979040391,-71.82748672265203,4689825221735298560,5.142008699146235,-71.82740303450936,0.41507057338292525
